Key - Publication,Title,Abstract,Date,Journal,URL
1,"Using Decision Trees to Manage Hospital Readmission Risk for Acute Myocardial Infarction, Heart Failure, and Pneumonia","To improve healthcare quality and reduce costs, the Affordable Care Act places hospitals at financial risk for excessive readmissions associated with acute myocardial infarction (AMI), heart failure (HF), and pneumonia (PN). Although predictive analytics is increasingly looked to as a means for measuring, comparing, and managing this risk, many modeling tools require data inputs that are not readily available and/or additional resources to yield actionable information. This article demonstrates how hospitals and clinicians can use their own structured discharge data to create decision trees that produce highly transparent, clinically relevant decision rules for better managing readmission risk associated with AMI, HF, and PN. For illustrative purposes, basic decision trees are trained and tested using publically available data from the California State Inpatient Databases and an open-source statistical package. As expected, these simple models perform less well than other more sophisticated tools, with areas under the receiver operating characteristic (ROC) curve (or AUC) of 0.612, 0.583, and 0.650, respectively, but achieve a lift of at least 1.5 or greater for higher-risk patients with any of the three conditions. More importantly, they are shown to offer substantial advantages in terms of transparency and interpretability, comprehensiveness, and adaptability. By enabling hospitals and clinicians to identify important factors associated with readmissions, target subgroups of patients at both high and low risk, and design and implement interventions that are appropriate to the risk levels observed, decision trees serve as an ideal application for addressing the challenge of reducing hospital readmissions.",2014-08-27,Applied Health Economics and Health Policy,https://link.springer.com/article/10.1007/s40258-014-0124-7
2,Charmonium-Nucleon Dissociation Cross Sections in the Quark Model,"Charmonium dissociation cross sections due to flavor-exchange charmonium-baryon scattering are computed in the constituent quark model. We present results for inelastic J/ψN and ηcN scattering amplitudes and cross sections into 46 final channels, including final states composed of various combinations of D, D∗, Σc, and Λc. These results are relevant to experimental searches for the deconfined phase of quark matter, and may be useful in identifying the contribution of initial cc¯ production to the open-charm final states observed at RHIC through the characteristic flavor ratios of certain channels. These results are also of interest to possible charmonium-nucleon bound states.",2007-01-29,Phys.Rev.C,https://arxiv.org/PS_cache/nucl-th/pdf/0701/0701087v1.pdf
